##SubmitTime	HumanSubmitTime	JobID;JobState;JobName	AllocNode;AllocNodePartition;RunNode;RunNodePartition	QueueTime;RunTime;Q+R;TimeLimit	AvgCPU;MaxCPU;CPULimit	AvgMEM;MaxMEM;MEMLimit	Partition;QOS	Username;Group;Account	Workdir	StdOut	StdErr
1616682765	Thu_Mar_25_10:32:45_EDT_2021	11331386;COMPLETED;bl:star_rl	cn1048;norm;cn2295;ccr	00:01:34;00:36:59;00:38:33;12:00:00	32;32;32	49152;33958;49152	ccr,norm;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682766	Thu_Mar_25_10:32:46_EDT_2021	11331388;COMPLETED;bl:star_rl	cn1048;norm;cn2298;ccr	00:01:33;00:37:54;00:39:27;12:00:00	32;32;32	49152;35889;49152	ccr,norm;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682767	Thu_Mar_25_10:32:47_EDT_2021	11331390;COMPLETED;bl:rRNA_list	cn1048;norm;cn2738;quick	00:01:33;00:00:39;00:02:12;01:00:00	2;1;1	8192;77;8192	quick;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682769	Thu_Mar_25_10:32:49_EDT_2021	11331392;COMPLETED;bl:jsonmaker	cn1048;norm;cn2738;quick	00:01:31;00:00:06;00:01:37;01:00:00	2;;1	8192;;8192	quick;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682770	Thu_Mar_25_10:32:50_EDT_2021	11331394;COMPLETED;bl:star_genome	cn1048;norm;cn2303;ccr	00:01:29;00:32:04;00:33:33;12:00:00	32;32;32	49152;30746;49152	ccr,norm;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682771	Thu_Mar_25_10:32:51_EDT_2021	11331396;COMPLETED;bl:annotate	cn1048;norm;cn2592;quick	00:01:29;00:01:36;00:03:05;01:00:00	2;1;1	8192;4261;8192	quick;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682772	Thu_Mar_25_10:32:52_EDT_2021	11331397;COMPLETED;bl:qualimapinfo	cn1048;norm;cn2592;quick	00:01:28;00:03:40;00:05:08;01:00:00	2;1;1	20480;4807;20480	quick;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682774	Thu_Mar_25_10:32:54_EDT_2021	11331399;COMPLETED;bl:tin_ref	cn1048;norm;cn2593;quick	00:01:27;00:09:36;00:11:03;01:00:00	2;1;1	8192;138;8192	quick;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682775	Thu_Mar_25_10:32:55_EDT_2021	11331401;COMPLETED;bl:star_rl	cn1048;norm;cn2310;ccr	00:01:24;00:37:22;00:38:46;12:00:00	32;33;32	49152;34922;49152	ccr,norm;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682776	Thu_Mar_25_10:32:56_EDT_2021	11331403;COMPLETED;bl:star_rl	cn1048;norm;cn2320;ccr	00:01:23;00:35:34;00:36:57;12:00:00	32;32;32	49152;32721;49152	ccr,norm;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682777	Thu_Mar_25_10:32:57_EDT_2021	11331405;COMPLETED;bl:star_rl	cn1048;norm;cn2346;ccr	00:01:22;00:37:57;00:39:19;12:00:00	32;32;32	49152;36852;49152	ccr,norm;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682779	Thu_Mar_25_10:32:59_EDT_2021	11331406;COMPLETED;bl:rsem	cn1048;norm;cn4472;ccr	00:01:20;00:10:59;00:12:19;12:00:00	32;1;32	49152;3444;49152	ccr,norm;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682780	Thu_Mar_25_10:33:00_EDT_2021	11331407;COMPLETED;bl:karyo_coord	cn1048;norm;cn2593;quick	00:01:21;00:00:41;00:02:02;01:00:00	2;1;1	8192;1656;8192	quick;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
1616682781	Thu_Mar_25_10:33:01_EDT_2021	11331408;COMPLETED;bl:karyo_bed	cn1048;norm;cn2593;quick	00:01:20;00:00:43;00:02:03;01:00:00	2;1;1	8192;1654;8192	quick;global	kopardevn;CCBR;goldsted	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37		
