##SubmitTime	HumanSubmitTime	JobID:JobState:JobName	Node;Partition:QOS	QueueTime;RunTime;Q+R;TimeLimit	ReqCPU;AllocCPU	ReqMEM:MaxMem	Username:UID:Group:GID:Account	ReqTRES	Workdir
1616682765	Thu_Mar_25_10:32:45_EDT_2021	11331386;COMPLETED;bl:star_rl	cn2295;ccr;global	00:01:34;00:36:59;00:38:33;12:00:00	32;32	48Gn;34.03G	kopardevn;37513;CCBR;57786;goldsted	billing=32,cpu=32,gres/lscratch=128,mem=48G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682766	Thu_Mar_25_10:32:46_EDT_2021	11331388;COMPLETED;bl:star_rl	cn2298;ccr;global	00:01:33;00:37:54;00:39:27;12:00:00	32;32	48Gn;35.06G	kopardevn;37513;CCBR;57786;goldsted	billing=32,cpu=32,gres/lscratch=128,mem=48G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682767	Thu_Mar_25_10:32:47_EDT_2021	11331390;COMPLETED;bl:rRNA_list	cn2738;quick;global	00:01:33;00:00:39;00:02:12;01:00:00	2;2	8Gn;0.08G	kopardevn;37513;CCBR;57786;goldsted	billing=1,cpu=1,gres/lscratch=2,mem=8G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682769	Thu_Mar_25_10:32:49_EDT_2021	11331392;COMPLETED;bl:jsonmaker	cn2738;quick;global	00:01:31;00:00:06;00:01:37;01:00:00	2;2	8Gn;0.00G	kopardevn;37513;CCBR;57786;goldsted	billing=1,cpu=1,gres/lscratch=2,mem=8G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682770	Thu_Mar_25_10:32:50_EDT_2021	11331394;COMPLETED;bl:star_genome	cn2303;ccr;global	00:01:29;00:32:04;00:33:33;12:00:00	32;32	48Gn;30.03G	kopardevn;37513;CCBR;57786;goldsted	billing=32,cpu=32,gres/lscratch=128,mem=48G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682771	Thu_Mar_25_10:32:51_EDT_2021	11331396;COMPLETED;bl:annotate	cn2592;quick;global	00:01:29;00:01:36;00:03:05;01:00:00	2;2	8Gn;3.78G	kopardevn;37513;CCBR;57786;goldsted	billing=1,cpu=1,gres/lscratch=2,mem=8G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682772	Thu_Mar_25_10:32:52_EDT_2021	11331397;COMPLETED;bl:qualimapinfo	cn2592;quick;global	00:01:28;00:03:40;00:05:08;01:00:00	2;2	20Gn;4.70G	kopardevn;37513;CCBR;57786;goldsted	billing=1,cpu=1,gres/lscratch=2,mem=20G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682774	Thu_Mar_25_10:32:54_EDT_2021	11331399;COMPLETED;bl:tin_ref	cn2593;quick;global	00:01:27;00:09:36;00:11:03;01:00:00	2;2	8Gn;0.37G	kopardevn;37513;CCBR;57786;goldsted	billing=1,cpu=1,gres/lscratch=2,mem=8G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682775	Thu_Mar_25_10:32:55_EDT_2021	11331401;COMPLETED;bl:star_rl	cn2310;ccr;global	00:01:24;00:37:22;00:38:46;12:00:00	32;32	48Gn;34.45G	kopardevn;37513;CCBR;57786;goldsted	billing=32,cpu=32,gres/lscratch=128,mem=48G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682776	Thu_Mar_25_10:32:56_EDT_2021	11331403;COMPLETED;bl:star_rl	cn2320;ccr;global	00:01:23;00:35:34;00:36:57;12:00:00	32;32	48Gn;32.23G	kopardevn;37513;CCBR;57786;goldsted	billing=32,cpu=32,gres/lscratch=128,mem=48G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682777	Thu_Mar_25_10:32:57_EDT_2021	11331405;COMPLETED;bl:star_rl	cn2346;ccr;global	00:01:22;00:37:57;00:39:19;12:00:00	32;32	48Gn;36.94G	kopardevn;37513;CCBR;57786;goldsted	billing=32,cpu=32,gres/lscratch=128,mem=48G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682779	Thu_Mar_25_10:32:59_EDT_2021	11331406;COMPLETED;bl:rsem	cn4472;ccr;global	00:01:20;00:10:59;00:12:19;12:00:00	32;32	48Gn;3.38G	kopardevn;37513;CCBR;57786;goldsted	billing=32,cpu=32,gres/lscratch=2,mem=48G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682780	Thu_Mar_25_10:33:00_EDT_2021	11331407;COMPLETED;bl:karyo_coord	cn2593;quick;global	00:01:21;00:00:41;00:02:02;01:00:00	2;2	8Gn;1.62G	kopardevn;37513;CCBR;57786;goldsted	billing=1,cpu=1,gres/lscratch=2,mem=8G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
1616682781	Thu_Mar_25_10:33:01_EDT_2021	11331408;COMPLETED;bl:karyo_bed	cn2593;quick;global	00:01:20;00:00:43;00:02:03;01:00:00	2;2	8Gn;1.62G	kopardevn;37513;CCBR;57786;goldsted	billing=1,cpu=1,gres/lscratch=2,mem=8G,node=1	/gpfs/gsfs11/users/kopardevn/GitRepos/RNA-seek/references/hg38_37
