Sptbn5	SPTBN5
SPTBN5	Sptbn5
Zfp365	ZNF365
ZNF365	Zfp365
Wdr53	WDR53
WDR53	Wdr53
Tdg-ps2	TDG
TDG	Tdg-ps2,Tdg
Tdg	TDG
Trarg1	TRARG1
TRARG1	Trarg1
Gdnf	GDNF
GDNF	Gdnf
Star	STAR
STAR	Star
Fzd2	FZD2
FZD2	Fzd2
Hoxa11	HOXA11
HOXA11	Hoxa11
Hoxc11	HOXC11
HOXC11	Hoxc11
Sox17	SOX17
SOX17	Sox17
Mdk	MDK
MDK	Mdk
Men1	MEN1
MEN1	Men1
Robo3	ROBO3
ROBO3	Robo3
Hspe1	HSPE1
HSPE1	Hspe1
Gpr173	GPR173
GPR173	Gpr173
Esrra	ESRRA
ESRRA	Esrra
Fgf8	FGF8
FGF8	Fgf8
Smad5	SMAD5
SMAD5	Smad5
Pparg	PPARG
PPARG	Pparg
Olfr521	OR2AT4
OR2AT4	Olfr521,Olfr520
Hoxd10	HOXD10
HOXD10	Hoxd10
Pklr	PKLR
PKLR	Pklr
Vipr2	VIPR2
VIPR2	Vipr2
Lcp1	LCP1
LCP1	Lcp1
Tle3	TLE3
TLE3	Tle3
Prph	PRPH
PRPH	Prph
Axin2	AXIN2
AXIN2	Axin2
Bambi	BAMBI
BAMBI	Bambi
Clic3	CLIC3
CLIC3	Clic3
Zeb1	ZEB1
ZEB1	Zeb1
Cldn12	CLDN12
CLDN12	Cldn12
mt-Co1	COX1
COX1	mt-Co1
Cyp19a1	CYP19A1
CYP19A1	Cyp19a1
Hnf1b	HNF1B
HNF1B	Hnf1b
Th	TH
TH	Th
Olfr520	OR2AT4
Hoxb4	HOXB4
HOXB4	Hoxb4
Foxc2	FOXC2
FOXC2	Foxc2
Foxc1	FOXC1
FOXC1	Foxc1
Nkx2-2	NKX2-2
NKX2-2	Nkx2-2
Igfbp2	IGFBP2
IGFBP2	Igfbp2
Ntn1	NTN1
NTN1	Ntn1
Noto	NOTO
NOTO	Noto
Mixl1	MIXL1
MIXL1	Mixl1
Lsm2	LSM2
LSM2	Lsm2
Ube2i	UBE2I
UBE2I	Ube2i
Otx1	OTX1
OTX1	Otx1
Ckm	CKM
CKM	Ckm
Wnt11	WNT11
WNT11	Wnt11
Lefty2	LEFTY1,LEFTY2
LEFTY1	Lefty2,Lefty1
LEFTY2	Lefty2,Lefty1
Lefty1	LEFTY1,LEFTY2
Stk19	STK19
STK19	Stk19
Msx3	
Gata2	GATA2
GATA2	Gata2
Hoxb6	HOXB6
HOXB6	Hoxb6
Olfr402	OR3A1
OR3A1	Olfr402,Olfr401,Olfr410
Olfr338	
Olfr855	OR7G2
OR7G2	Olfr855,Olfr847,Olfr850,Olfr829,Olfr849,Olfr854,Olfr836,Olfr845,Olfr846,Olfr835,Olfr837,Olfr830,Olfr851,Olfr853,Olfr828,Olfr843
Olfr50	
Olfr109	OR12D3
OR12D3	Olfr109
Olfr99	
Olfr370	OR10K1,OR10K2
OR10K1	Olfr370
OR10K2	Olfr370
Olfr43	OR1A1,OR1A2
OR1A1	Olfr43,Olfr403
OR1A2	Olfr43,Olfr403
Olfr1286	
Olfr732	OR4N2
OR4N2	Olfr732,Olfr733
Olfr869	OR7E24
OR7E24	Olfr869,Olfr868,Olfr872,Olfr866,Olfr18
Olfr847	OR7G2
Olfr1295	
Olfr1354	OR7A10,OR7A17
OR7A10	Olfr1354,Olfr8,Olfr1352,Olfr1353,Olfr19,Olfr57,Olfr1351
